CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
535,France,Female,31,7,111855.04,2,1,1,36278.89,0
748,France,Female,20,7,0.0,2,0,0,10792.42,0
543,Germany,Male,49,6,59532.18,1,1,0,104253.56,0
776,France,Male,39,8,125211.55,2,1,0,144496.07,0
770,France,Male,24,9,101827.07,1,1,0,167256.35,0
797,France,Male,29,1,0.0,1,0,1,149991.32,0
738,France,Male,29,2,0.0,2,1,1,170421.13,0
660,France,Male,41,3,0.0,2,1,1,108665.89,0
605,France,Female,28,6,0.0,2,0,0,159508.52,0
738,France,Female,38,7,0.0,2,0,0,69227.42,0
432,Spain,Male,38,7,0.0,2,1,0,150580.88,0
524,France,Female,36,10,0.0,2,1,0,109614.57,0
802,Spain,Male,41,6,0.0,2,1,0,47322.05,0
642,France,Male,26,1,138023.79,2,0,1,117060.2,0
476,Germany,Female,34,8,111905.43,1,0,1,197221.81,1
758,France,Female,30,3,141581.08,1,1,0,156249.06,0
609,France,Male,48,1,108019.27,3,1,1,184524.65,1
618,France,Female,31,4,0.0,2,1,0,29176.04,0
706,Germany,Female,47,10,144090.42,1,1,0,140938.95,1
729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0
660,France,Female,31,6,172325.67,1,0,1,45438.38,0
651,France,Male,28,7,0.0,2,1,0,823.96,0
726,France,Female,44,2,0.0,2,1,1,26733.86,0
730,France,Male,39,1,116537.6,1,0,0,145679.6,0
604,Germany,Male,36,10,113546.3,1,1,1,134875.37,0
605,France,Male,52,1,63349.75,1,1,0,108887.44,0
689,Germany,Female,30,5,136650.89,1,1,1,41865.72,1
486,France,Male,63,9,97009.15,1,1,1,85101.0,0
678,Spain,Male,38,3,124483.53,1,1,0,126253.31,0
618,Germany,Female,54,4,118449.21,1,1,1,133573.29,1
431,France,Male,37,0,120764.08,1,1,1,117023.08,0
549,Germany,Female,55,1,137592.31,2,0,1,116548.02,1
778,Spain,Male,33,5,116474.28,2,1,1,32757.55,0
824,France,Male,30,0,133634.02,1,1,1,162053.92,0
634,Germany,Female,31,8,76798.92,1,0,0,196021.73,0
684,Spain,Female,42,3,103210.27,1,1,0,31002.03,0
617,Germany,Male,44,9,49157.09,2,1,0,53294.17,0
587,France,Male,38,0,0.0,2,1,0,47414.15,0
499,France,Female,46,6,0.0,2,1,0,73457.55,0
534,France,Male,36,4,120037.96,1,1,0,36275.94,0
753,Germany,Female,35,5,82453.96,2,0,0,18254.75,0
594,France,Female,31,9,0.0,1,0,1,5719.11,0
657,Spain,Female,27,8,0.0,2,0,0,6468.24,0
769,Germany,Male,27,7,188614.07,1,1,0,171344.09,0
661,Spain,Female,42,3,0.0,2,1,0,35989.41,0
635,France,Male,29,7,105405.97,1,1,1,149853.89,0
712,France,Male,34,8,114088.32,1,1,0,92794.61,0
519,France,Male,42,8,0.0,2,1,1,101485.72,0
794,Spain,Male,33,8,0.0,2,0,0,91340.02,0
679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0
614,France,Female,43,6,0.0,2,1,1,109041.53,0
544,Spain,Female,53,9,0.0,1,1,0,125692.07,1
754,Spain,Male,35,4,0.0,2,1,1,9658.41,0
740,Germany,Female,40,2,122295.17,2,1,1,30812.84,0
735,Germany,Male,46,2,106344.95,1,1,0,114371.33,1
631,France,Male,35,8,129205.49,1,1,1,79146.36,0
621,Spain,Male,50,3,163085.79,1,0,1,131048.36,0
658,Spain,Male,50,2,0.0,2,1,0,52137.73,0
638,Spain,Male,41,7,0.0,2,1,0,43889.41,0
850,France,Female,55,10,98488.08,1,1,0,155879.57,1
608,France,Female,33,4,0.0,1,1,0,79304.38,1
669,Spain,Male,29,9,0.0,1,1,1,93901.61,0
640,France,Male,44,3,137148.68,1,1,0,92381.01,0
727,France,Female,31,2,52192.08,2,0,1,160383.47,0
528,Germany,Female,62,7,133201.17,1,0,0,168507.68,1
819,France,Female,38,10,0.0,2,1,0,30498.7,0
725,France,Female,29,6,0.0,2,1,1,190776.83,0
672,Germany,Female,21,1,35741.69,1,1,0,28789.94,0
618,Germany,Female,29,10,100315.1,2,1,1,32526.64,0
592,France,Female,38,4,0.0,2,1,0,35338.96,0
784,Spain,Female,40,8,0.0,2,1,0,108891.3,0
617,Spain,Male,42,0,70105.87,1,1,1,120830.73,0
713,France,Male,46,5,0.0,1,1,1,55701.62,0
635,Spain,Female,32,8,0.0,2,1,1,19367.98,1
593,France,Female,46,7,98752.51,1,1,0,145560.38,0
733,France,Male,48,5,0.0,1,0,1,117830.57,0
743,France,Female,39,8,0.0,1,1,0,94263.44,0
544,France,Male,38,8,0.0,1,1,1,98208.62,0
727,France,Male,35,5,136364.46,1,0,0,142754.71,0
609,Germany,Male,33,6,94126.67,1,0,0,93718.16,0
650,Germany,Female,35,3,165982.43,2,1,1,24482.16,0
508,France,Male,26,7,205962.0,1,1,0,156424.4,0
540,Spain,Male,37,0,120825.7,1,1,0,28257.89,0
617,France,Female,28,0,0.0,2,1,1,7597.83,1
775,France,Male,40,9,126212.64,1,1,0,70196.57,0
602,Spain,Male,30,9,113672.18,2,0,0,102135.92,0
771,Spain,Male,45,0,139825.56,1,0,0,170984.97,1
675,France,Female,33,6,0.0,2,1,0,34045.61,0
513,Spain,Male,88,10,0.0,2,1,1,52952.24,0
673,Spain,Female,57,4,0.0,2,1,1,49684.09,0
625,France,Female,36,8,129944.39,2,0,0,198914.8,0
840,Spain,Female,36,6,0.0,2,1,0,141364.27,0
790,France,Female,40,9,0.0,2,1,1,70607.1,0
632,Germany,Female,50,5,107959.39,1,1,1,6985.34,1
641,Spain,Male,25,10,0.0,2,1,1,180808.39,0
595,France,Male,20,4,95830.43,1,1,0,177738.98,0
733,France,Male,22,5,0.0,2,1,1,117202.19,0
751,Spain,Male,33,4,79281.61,1,1,0,117547.76,0
735,Spain,Male,38,7,86131.71,2,0,0,93478.96,0
640,Germany,Male,45,8,120591.19,1,0,0,195123.94,0
565,Germany,Female,38,2,158651.29,2,1,1,179445.28,0
502,Germany,Female,33,6,125241.17,2,1,1,158736.07,0
684,Spain,Female,41,1,134177.06,1,0,0,177506.66,0
632,Germany,Male,42,4,119624.6,2,1,1,195978.86,0
652,Spain,Female,38,1,103895.31,1,0,1,159649.44,0
669,France,Female,29,7,146011.4,1,0,0,50249.16,0
741,France,Female,44,7,0.0,2,1,1,190534.76,0
681,France,Female,43,8,154100.3,1,0,0,114659.81,0
702,Spain,Male,44,9,0.0,1,0,0,59207.41,1
701,Spain,Female,30,2,0.0,2,1,0,115650.63,0
711,Germany,Female,35,2,133607.75,1,1,1,120586.32,0
620,France,Male,28,9,71902.52,1,0,1,190208.23,0
670,France,Female,31,9,0.0,1,0,1,76254.83,0
793,Spain,Male,25,3,100913.57,1,0,0,10579.72,0
709,Germany,Male,30,9,115479.48,2,1,1,134732.99,0
670,Germany,Female,40,2,147171.2,1,0,1,69850.04,0
489,Germany,Male,38,2,126444.08,2,1,1,82662.73,0
661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0
455,Spain,Female,43,6,0.0,1,1,1,81250.79,0
779,Germany,Female,40,2,75470.23,1,1,1,52894.01,0
501,France,Female,39,9,117301.66,1,0,0,182025.95,0
567,France,Female,47,2,0.0,1,0,0,110900.43,1
657,Germany,Female,38,5,123770.46,1,0,0,47019.66,1
780,France,Female,37,3,0.0,2,0,0,182156.81,1
755,France,Male,62,1,127706.33,2,0,1,142377.69,0
618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0
609,Spain,Male,37,5,129312.79,1,1,1,26793.82,0
638,France,Male,41,1,131762.94,1,1,1,47675.29,0
711,France,Male,38,4,123345.85,1,1,0,141827.83,0
665,Spain,Female,51,8,0.0,1,1,1,38928.48,1
549,France,Female,46,7,0.0,1,1,1,109057.56,0
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
781,France,Male,32,6,147107.91,1,1,1,40066.95,0
709,Germany,Male,23,8,73314.04,2,1,0,63446.47,0
584,Germany,Female,36,4,109646.83,1,1,1,70240.79,0
732,France,Female,35,3,0.0,2,1,0,90876.95,0
512,Spain,Female,46,3,0.0,2,1,1,56408.14,0
596,France,Male,33,2,139451.67,1,0,0,63142.12,0
597,France,Male,44,8,78128.13,2,0,1,109153.04,0
724,France,Male,30,10,0.0,2,1,1,54265.55,0
583,France,Male,33,7,122531.86,1,1,0,13549.24,0
629,France,Male,32,2,0.0,2,0,1,77965.44,0
815,France,Male,37,1,166115.42,1,1,0,67208.3,0
731,Spain,Male,41,4,0.0,2,1,0,22299.27,0
508,France,Female,64,2,0.0,1,1,1,6076.62,0
740,France,Female,30,8,105209.54,1,1,0,1852.58,0
656,France,Female,30,4,74323.2,1,1,1,22929.08,0
746,Spain,Male,31,2,113836.27,1,1,1,174815.54,0
591,Germany,Female,34,4,150635.3,1,1,1,72274.84,0
544,France,Male,40,8,0.0,2,1,0,61581.2,0
647,Germany,Male,51,4,131156.76,1,1,0,29883.63,0
613,Germany,Male,59,8,91415.76,1,0,0,27965.0,1
789,France,Male,37,3,0.0,1,1,0,121883.87,1
631,Germany,Female,37,2,121801.72,2,0,1,23146.62,0
787,France,Male,25,5,0.0,2,1,0,47307.9,0
783,Spain,Female,59,9,126224.87,1,1,1,4423.63,0
844,France,Female,29,8,0.0,2,0,0,147342.03,0
539,Spain,Female,37,1,130922.81,2,0,0,2186.83,0
607,Germany,Male,61,2,164523.5,2,1,1,35786.76,0
672,France,Male,39,2,0.0,2,1,0,87372.49,0
581,Spain,Male,43,9,78022.61,1,0,1,30662.91,0
683,Germany,Male,73,9,124730.26,1,1,1,51999.5,0
590,France,Male,31,8,112211.61,1,1,0,26261.42,0
589,Spain,Female,46,10,0.0,2,0,1,168369.37,0
579,Spain,Male,37,5,152212.88,2,0,0,120219.14,0
611,France,Male,30,2,104145.65,1,0,0,159629.64,0
634,France,Male,37,5,115345.86,2,0,0,168781.8,0
694,France,Male,32,0,91956.49,1,1,1,59961.81,0
676,France,Female,34,1,63095.01,1,1,1,40645.81,0
545,France,Male,30,3,0.0,2,1,0,170307.43,0
793,France,Male,35,2,0.0,2,1,1,79704.12,0
704,Spain,Male,48,8,167997.6,1,1,1,173498.45,0
526,Spain,Male,38,2,0.0,2,0,0,58010.98,0
685,France,Female,40,7,0.0,1,1,0,72852.74,1
610,France,Female,57,7,72092.95,4,0,1,113228.82,1
620,France,Female,67,3,0.0,2,1,1,43486.73,0
695,France,Male,45,3,0.0,2,1,1,30793.61,0
682,Germany,Female,35,2,117438.92,2,1,1,16910.98,0
847,France,Male,66,7,123760.68,1,0,1,53157.16,0
724,Germany,Female,48,6,110463.25,2,1,1,80552.11,1
692,Spain,Female,49,9,0.0,2,1,0,178342.63,0
466,France,Male,26,9,105522.06,1,1,0,10842.46,0
576,Germany,Female,71,6,140273.47,1,1,1,193135.25,1
680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0
798,France,Female,60,6,96956.1,1,1,0,31907.44,1
652,Germany,Female,47,0,126597.89,2,1,1,38798.79,1
655,France,Male,37,6,109093.41,2,1,0,1775.52,0
640,Spain,Male,37,5,158024.38,1,1,0,81298.09,0
779,France,Female,42,5,0.0,2,0,0,25951.91,0
687,Germany,Male,38,4,117633.28,1,0,1,88396.6,0
668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0
691,France,Female,29,9,0.0,2,0,0,199635.93,0
660,France,Male,34,8,106486.66,2,0,1,182262.66,0
630,Spain,Male,39,10,105473.74,1,0,0,58854.88,1
809,Spain,Female,48,2,0.0,1,1,0,160976.85,1
764,Spain,Female,48,1,75990.97,1,1,0,158323.81,1
572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
713,France,Male,36,8,133889.35,1,1,1,143265.65,0
575,Spain,Female,22,8,105229.34,1,1,1,34397.08,0
696,France,Male,22,9,149777.0,1,1,1,198032.93,0
635,France,Male,34,3,134692.4,2,1,1,83773.02,0
679,France,Female,33,6,0.0,2,1,1,98015.85,0
601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0
557,Germany,Female,38,2,129893.56,1,0,0,102076.03,0
662,France,Male,44,8,0.0,2,1,1,175314.87,0
471,Germany,Male,23,6,104592.55,2,1,0,131736.23,0
807,Spain,Female,43,0,0.0,2,0,1,85523.24,0
644,Spain,Male,54,6,0.0,1,0,1,84622.37,0
570,Germany,Male,42,0,107856.57,2,1,0,127528.84,0
737,France,Male,28,8,0.0,2,1,0,106390.01,0
796,France,Male,30,2,137262.71,2,1,0,62905.29,0
694,France,Male,42,3,156864.2,2,0,0,88890.75,0
587,France,Male,39,10,0.0,2,1,1,170409.45,0
750,France,Male,37,3,0.0,2,1,0,16870.2,0
619,France,Female,42,2,0.0,1,1,1,101348.88,1
516,Spain,Female,33,3,0.0,2,1,1,58685.59,0
816,Germany,Female,40,9,109003.26,1,1,1,79580.56,0
664,France,Male,48,10,0.0,1,1,0,140173.17,1
729,France,Female,34,9,132121.71,1,0,1,105409.31,0
580,Germany,Female,36,6,145387.32,2,1,1,169963.2,1
678,France,Male,66,8,0.0,2,1,1,47117.03,0
740,France,Male,33,1,129574.98,1,1,1,123300.38,0
572,Spain,Female,26,5,0.0,2,1,0,119381.41,0
759,France,Female,38,1,104091.29,1,0,0,91561.91,0
704,France,Male,32,7,127785.17,4,0,0,184464.7,1
751,France,Female,48,9,0.0,1,1,0,137508.42,1
671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
675,France,Female,38,6,68065.8,1,0,0,138777.0,1
571,France,Female,33,1,0.0,2,1,0,102750.7,0
498,Germany,Male,35,2,121968.11,2,0,1,188343.05,0
555,France,Male,31,8,145875.74,1,1,0,137491.23,0
515,France,Male,65,7,92113.61,1,1,1,142548.33,0
506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0
660,Spain,Male,42,5,0.0,2,1,0,115509.59,0
586,Spain,Male,29,2,132450.24,1,1,1,36176.63,0
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
684,Spain,Female,39,4,139723.9,1,1,1,120612.11,0
695,France,Female,42,5,0.0,1,0,1,72172.13,1
593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
650,France,Female,43,6,0.0,2,1,1,16301.91,0
592,France,Male,36,1,126477.42,1,0,0,179718.17,0
636,France,Female,39,3,118336.14,1,1,0,184691.77,0
769,France,Female,31,6,117852.26,2,1,0,147668.64,0
751,France,Male,31,8,0.0,2,0,0,17550.49,0
514,France,Male,38,4,112230.38,1,1,0,16717.11,1
710,France,Male,21,4,109130.96,2,1,1,56191.99,0
678,France,Male,43,1,133237.21,1,1,0,111032.79,1
628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0
559,France,Female,48,2,0.0,2,0,1,137961.41,0
497,Germany,Female,32,8,111537.23,4,1,1,9497.99,1
768,France,Male,29,2,95984.69,2,1,1,73686.75,0
668,Spain,Female,24,7,173962.32,1,0,0,106457.11,1
525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
477,Germany,Female,39,4,182491.57,1,1,0,185830.72,0
765,France,Male,51,3,123372.3,1,1,1,115429.32,0
634,France,Male,77,5,0.0,2,1,1,161579.85,0
662,France,Female,32,4,133950.37,1,1,1,48725.68,1
735,Spain,Male,50,9,0.0,1,0,0,166677.35,1
700,Germany,Male,35,4,95853.39,2,1,0,192933.37,0
548,Germany,Female,36,2,108913.84,2,1,1,140460.01,0
599,France,Male,44,10,118577.24,1,1,1,31448.52,0
488,Germany,Female,28,7,139246.22,2,1,0,106799.49,0
669,France,Male,29,7,0.0,2,1,1,138145.62,0
633,France,Female,39,9,129189.15,2,0,0,170998.83,0
571,France,Female,53,2,0.0,2,1,0,28045.77,0
624,Germany,Female,40,3,149961.99,2,1,0,104610.86,0
850,Germany,Male,41,8,60880.68,1,1,0,31825.84,0
800,France,Female,29,2,0.0,2,0,0,167773.55,0
639,France,Male,37,5,98186.7,1,0,1,173386.95,0
665,France,Female,40,6,0.0,1,1,1,161848.03,0
678,Germany,Female,25,10,76968.12,2,0,1,131501.72,0
765,France,Male,43,9,157960.49,2,0,0,136602.8,0
661,Spain,Male,38,7,143006.7,1,1,1,15650.89,0
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
744,Germany,Male,41,7,190409.34,2,1,1,138361.48,0
540,Spain,Female,28,6,84121.04,1,0,1,80698.54,0
457,Germany,Male,42,4,126772.57,1,0,1,126106.4,0
850,Spain,Male,39,8,0.0,2,1,1,37090.44,0
714,France,Male,52,4,100755.66,1,1,1,186775.25,0
657,France,Male,32,3,118829.03,2,1,1,73127.61,0
743,Spain,Female,36,8,92716.96,1,1,1,33693.78,0
720,France,Male,29,2,0.0,2,1,0,39925.52,0
696,France,Female,41,8,0.0,2,0,0,28276.83,0
776,France,Female,29,5,0.0,2,1,1,143301.49,0
643,Spain,Male,43,1,0.0,2,1,1,145764.4,0
685,Spain,Male,38,4,0.0,2,1,1,35884.91,0
694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0
506,Spain,Male,50,3,0.0,2,1,0,12016.79,0
695,Germany,Male,27,6,125552.96,1,1,0,105291.26,0
741,France,Male,32,8,0.0,2,1,0,143598.7,0
501,France,Male,40,4,125832.2,1,1,1,100433.83,0
435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0
618,France,Female,21,2,125682.79,1,0,0,57762.0,0
824,France,Male,26,7,146266.0,1,1,0,21903.62,1
707,France,Female,33,2,58036.33,1,1,1,83335.78,0
707,France,Female,36,6,0.0,1,0,0,98810.78,0
817,France,Male,34,5,129278.43,1,0,0,165562.84,0
638,France,Female,42,7,165679.92,1,0,0,32916.29,0
689,Spain,Female,40,5,154251.67,1,0,1,118319.5,0
543,France,Female,34,8,0.0,2,0,1,145601.8,0
529,France,Male,42,1,157498.9,1,1,1,82276.62,0
699,France,Male,39,2,109724.38,1,1,1,180022.39,0
592,Spain,Male,41,0,0.0,2,1,0,65906.07,0
648,France,Male,38,10,82697.28,1,1,0,74846.67,0
612,France,Female,38,1,0.0,2,1,1,9209.21,0
687,Spain,Male,35,3,0.0,2,1,1,176450.19,0
792,France,Female,28,4,130142.79,1,1,0,38190.78,0
774,France,Female,42,3,137781.65,1,0,0,199316.19,0
663,Spain,Male,33,9,0.0,2,0,0,91514.62,0
733,France,Male,36,5,0.0,2,1,1,109127.54,0
682,Germany,Female,43,7,111094.05,2,1,1,64679.3,0
550,France,Female,40,7,114354.95,1,1,0,54018.93,0
501,France,Male,37,4,0.0,2,0,0,12470.3,0
624,Spain,Female,36,0,0.0,2,1,0,111605.9,0
850,France,Male,31,8,0.0,2,1,0,178667.7,0
838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0
836,France,Female,29,9,133681.78,1,1,1,153747.73,0
760,France,Male,38,6,162888.73,1,1,0,91098.76,1
627,Spain,Male,41,5,100880.76,1,0,1,134665.25,0
