CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
667,France,Male,42,7,0.0,1,0,1,108348.94,1
573,Spain,Male,56,3,154669.77,1,0,1,115462.27,1
706,Spain,Male,30,6,87609.68,2,0,0,137674.55,1
622,France,Female,39,9,83456.79,2,0,0,38882.34,0
729,Spain,Male,37,10,0.0,2,1,0,100862.54,0
460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
566,Germany,Female,35,1,123042.0,1,1,0,66245.44,1
667,Spain,Female,36,3,121542.57,2,1,1,186841.71,0
501,France,Female,41,3,144260.5,1,1,0,172114.67,0
677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0
576,Spain,Male,33,3,0.0,2,0,1,190112.05,0
718,Spain,Female,39,2,0.0,1,1,1,52138.49,0
680,France,Male,44,7,108724.98,1,0,1,72330.46,0
479,France,Male,34,5,117593.48,2,0,0,113308.29,0
758,France,Female,32,2,84378.9,1,1,1,75396.43,0
618,France,Female,40,0,0.0,1,1,0,119059.13,0
414,Spain,Male,60,3,0.0,2,1,1,93844.82,0
639,Germany,Female,37,5,151242.48,1,0,1,49637.65,0
505,Germany,Male,43,6,127146.68,1,0,0,137565.87,0
644,France,Female,37,8,0.0,2,1,0,20968.88,0
636,France,Male,42,2,0.0,2,1,1,55470.78,0
580,Germany,Male,45,2,179334.83,2,1,1,169303.65,0
784,Spain,Male,35,3,0.0,2,0,0,81483.64,0
670,Spain,Female,40,3,0.0,1,1,1,182650.15,0
674,France,Female,32,7,85757.93,1,1,1,95481.0,0
633,France,Female,44,7,0.0,2,1,0,29761.29,0
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
520,Germany,Female,31,3,108914.17,1,1,1,183572.39,1
659,Spain,Male,27,4,0.0,2,1,0,99341.87,0
672,France,Male,47,1,0.0,1,0,0,91574.92,0
520,France,Male,58,3,0.0,2,0,1,32790.02,0
765,France,Male,40,6,138033.55,1,1,1,67972.45,0
641,France,Female,42,6,0.0,2,0,0,121138.77,0
697,France,Male,36,7,0.0,2,1,1,74760.32,0
637,Spain,Female,54,5,0.0,1,0,1,150836.98,0
667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0
645,Germany,Male,49,4,160133.88,1,0,1,88391.97,0
653,France,Male,44,8,0.0,2,1,1,154639.72,0
663,Spain,Male,30,4,0.0,3,1,0,101371.05,0
667,Spain,Male,39,9,0.0,2,1,0,68873.8,0
657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1
692,France,Female,36,4,0.0,1,1,0,185580.89,1
594,Germany,Male,28,5,185013.02,1,1,0,16481.12,0
584,France,Male,35,6,161613.94,2,1,1,148238.16,0
588,Germany,Male,35,3,104356.38,1,1,0,94498.82,0
490,Spain,Female,38,3,97266.1,1,1,1,92797.23,0
681,Spain,Male,38,2,99811.44,2,1,0,23531.5,0
580,Germany,Female,36,3,74974.89,1,1,1,12099.67,0
670,France,Female,40,3,47364.45,1,1,1,148579.43,1
681,France,Male,47,9,97023.21,1,1,1,2168.13,0
697,Germany,Female,38,6,132591.36,1,1,1,7387.8,1
758,France,Female,33,7,0.0,1,1,0,188156.34,0
