age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
31,242984,10,0,0,40,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
48,373606,10,0,0,65,Self-emp-not-inc,Some-college,Divorced,Sales,Unmarried,White,Male,United-States,>50K
52,48343,11,0,0,40,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
37,126675,10,0,0,57,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
36,36423,9,0,0,25,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
44,127592,13,0,0,40,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
43,146908,10,0,0,40,State-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,MISSING,<=50K
22,207782,12,0,0,20,Private,Assoc-acdm,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
34,55717,9,0,1848,50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
23,215616,9,0,0,40,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,Canada,<=50K
34,79637,13,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,United-States,<=50K
27,163127,11,0,0,35,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
40,197012,13,8614,0,40,Local-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,England,>50K
25,53903,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
69,262352,10,0,0,32,MISSING,Some-college,Married-civ-spouse,MISSING,Husband,White,Male,United-States,<=50K
54,103700,9,0,0,40,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
41,203943,8,0,0,40,Private,12th,Married-civ-spouse,Protective-serv,Husband,Black,Male,MISSING,<=50K
34,106541,10,0,0,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
47,186009,10,0,0,38,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,Mexico,<=50K
68,241174,4,0,0,16,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
32,390997,2,0,0,50,Private,1st-4th,Never-married,Farming-fishing,Not-in-family,Other,Male,Mexico,<=50K
37,42645,9,0,0,40,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
42,266084,10,7298,0,45,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
39,173175,13,15024,0,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
17,413557,5,0,0,40,Self-emp-inc,9th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
33,345277,13,0,0,45,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,United-States,>50K
23,27776,9,0,0,40,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
41,177905,14,0,0,45,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
24,259351,10,0,0,40,Private,Some-college,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,Mexico,<=50K
20,360457,10,0,0,30,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
38,229180,13,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,Cuba,<=50K
45,30457,13,15024,0,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
47,36169,14,0,0,60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
52,370552,1,0,0,40,Private,Preschool,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,El-Salvador,<=50K
21,44793,10,0,0,65,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
35,49657,13,7298,0,40,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
48,141944,9,4386,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
34,105540,13,0,2051,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
33,122220,10,0,0,40,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Black,Female,United-States,>50K
