age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
22,253799,13,0,0,45,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,MISSING,<=50K
64,239450,10,0,0,40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
36,198841,14,0,0,40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
28,309196,13,0,0,40,Private,Bachelors,Never-married,Protective-serv,Not-in-family,White,Female,United-States,<=50K
36,31438,9,0,0,43,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,MISSING,<=50K
17,232900,7,0,0,25,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
84,188328,9,0,0,16,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
35,92028,14,0,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
57,71367,9,0,0,40,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
49,193249,12,0,0,40,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
27,384308,10,0,0,45,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
73,336007,13,0,2246,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
28,381789,13,0,0,50,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
35,276552,9,0,0,40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
41,106982,10,0,0,40,Federal-gov,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,United-States,>50K
28,162404,13,0,0,60,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
35,141896,8,0,0,40,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
61,167670,13,0,0,40,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
29,109814,13,0,0,40,Private,Bachelors,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
43,193490,4,0,0,45,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
36,96468,14,0,0,40,State-gov,Masters,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
30,159442,9,0,0,40,Private,HS-grad,Separated,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
50,129956,9,0,0,48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
56,68658,10,0,0,40,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
24,60783,10,0,0,70,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
38,325538,15,0,0,50,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
20,224059,9,0,0,40,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
25,176162,11,0,0,30,Local-gov,Assoc-voc,Never-married,Protective-serv,Own-child,White,Male,United-States,<=50K
29,168479,14,0,0,40,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
22,143062,9,0,0,40,Self-emp-not-inc,HS-grad,Never-married,Other-service,Own-child,White,Male,Greece,<=50K
50,283281,4,0,0,40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
28,243762,7,0,0,40,Private,11th,Separated,Craft-repair,Unmarried,White,Female,United-States,<=50K
50,162632,9,0,0,2,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
38,58108,13,0,0,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
54,222882,9,0,0,45,Private,HS-grad,Widowed,Exec-managerial,Unmarried,White,Female,United-States,<=50K
17,186067,6,0,0,10,Private,10th,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
46,111163,9,0,0,38,State-gov,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
30,93884,13,0,0,45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
58,183870,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
59,159937,9,0,0,48,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
43,159549,10,0,0,50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
30,349148,13,0,0,70,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
32,113688,11,0,0,50,Private,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
48,78529,14,0,0,60,State-gov,Masters,Separated,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
37,192939,13,0,0,40,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
63,187635,9,0,0,40,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
46,171228,9,3411,0,35,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Guatemala,<=50K
45,88564,10,7688,0,40,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
30,144593,9,0,0,40,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,MISSING,<=50K
43,175526,10,0,0,40,Local-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
28,191355,13,0,0,45,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
20,396722,10,0,0,40,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
71,162297,9,0,0,20,Private,HS-grad,Widowed,Sales,Unmarried,White,Female,United-States,<=50K
18,232082,9,0,0,40,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
51,210736,6,0,0,40,Private,10th,Married-spouse-absent,Craft-repair,Other-relative,White,Male,United-States,<=50K
17,48703,7,0,0,30,MISSING,11th,Never-married,MISSING,Own-child,White,Female,United-States,<=50K
53,229465,14,0,0,55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
29,183523,10,0,0,40,Local-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,Iran,<=50K
41,197583,6,0,0,40,Private,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,>50K
21,27049,9,0,0,25,Private,HS-grad,Never-married,Priv-house-serv,Not-in-family,White,Female,United-States,<=50K
25,191782,7,0,0,40,Private,11th,Never-married,Machine-op-inspct,Own-child,Black,Female,United-States,<=50K
42,206066,14,0,0,65,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
35,32126,13,0,0,40,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
37,164526,16,14084,0,45,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
45,188823,14,0,0,50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
33,145434,7,0,0,40,Private,11th,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
31,34572,11,0,0,45,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
43,216070,14,0,0,50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,United-States,>50K
54,76344,13,0,0,50,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
60,146674,9,0,0,50,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Not-in-family,Black,Male,MISSING,<=50K
22,362309,10,0,0,35,Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
36,150309,11,0,0,40,Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
