age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
78,237294,9,0,0,45,Self-emp-inc,HS-grad,Widowed,Sales,Not-in-family,White,Male,United-States,>50K
60,41553,10,0,0,40,MISSING,Some-college,Widowed,MISSING,Not-in-family,Black,Female,United-States,<=50K
20,200967,10,0,0,12,MISSING,Some-college,Never-married,MISSING,Own-child,White,Female,United-States,<=50K
41,34278,11,0,0,40,Private,Assoc-voc,Separated,Other-service,Not-in-family,White,Male,United-States,<=50K
21,256240,7,0,0,40,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
31,231826,9,0,0,52,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Mexico,<=50K
22,189203,12,0,0,15,MISSING,Assoc-acdm,Never-married,MISSING,Other-relative,White,Male,United-States,<=50K
23,154373,13,0,0,50,MISSING,Bachelors,Never-married,MISSING,Not-in-family,White,Female,United-States,<=50K
52,204402,9,0,0,85,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
20,161708,10,0,0,35,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
43,116666,15,0,0,35,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,United-States,>50K
25,323229,13,0,0,40,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
27,224849,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
23,543028,9,0,0,40,Private,HS-grad,Never-married,Sales,Own-child,Black,Male,United-States,<=50K
51,251841,11,0,0,43,Private,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
23,148751,10,0,0,35,MISSING,Some-college,Never-married,MISSING,Not-in-family,White,Female,United-States,<=50K
54,172962,13,0,1340,40,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
35,168322,7,0,0,40,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
36,167691,10,0,0,50,Self-emp-not-inc,Some-college,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
35,368825,10,0,0,60,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
20,88231,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
56,32855,9,0,0,40,MISSING,HS-grad,Divorced,MISSING,Not-in-family,White,Male,United-States,<=50K
19,316797,4,0,0,45,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,Mexico,<=50K
56,205601,16,99999,0,70,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
47,171095,12,0,0,35,Local-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
45,178922,5,0,0,15,Private,9th,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
58,177368,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
20,352139,10,0,0,29,Private,Some-college,Divorced,Other-service,Own-child,White,Female,United-States,<=50K
42,198341,14,0,1902,55,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,>50K
29,89813,9,0,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,Scotland,<=50K
42,258589,9,0,0,60,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,>50K
46,192323,9,0,0,40,State-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
22,22966,10,0,0,20,State-gov,Some-college,Married-spouse-absent,Tech-support,Unmarried,White,Male,United-States,<=50K
43,182217,13,0,0,35,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
32,281384,9,0,0,10,Private,HS-grad,Married-AF-spouse,Other-service,Other-relative,White,Female,United-States,<=50K
20,146706,10,0,0,30,Private,Some-college,Married-civ-spouse,Sales,Other-relative,White,Female,United-States,<=50K
41,168294,9,5178,0,40,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
53,30447,9,0,0,50,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
