CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
841,Spain,Male,41,1,0.0,2,0,1,193093.77,0
508,France,Female,41,5,0.0,2,1,1,94170.84,0
645,Spain,Male,45,4,0.0,1,0,1,174916.85,1
724,Germany,Male,37,6,125489.4,1,1,0,118570.53,0
588,France,Male,31,4,99607.37,2,0,1,35877.03,0
801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
611,Spain,Male,51,1,122874.74,1,1,1,149648.45,0
794,Spain,Female,37,9,0.0,2,1,0,68008.85,0
784,France,Male,31,7,0.0,2,1,1,143204.41,0
850,Germany,Male,32,3,137714.25,1,0,1,159403.68,0
610,Germany,Male,49,6,113882.33,1,1,0,195813.81,1
749,Germany,Female,32,7,79523.13,1,0,1,157648.12,0
709,Germany,Male,23,8,73314.04,2,1,0,63446.47,0
736,France,Male,29,4,0.0,2,0,0,51705.01,0
738,France,Male,26,9,0.0,2,1,1,48644.94,0
636,Germany,Female,37,9,157098.52,1,1,1,153535.27,0
735,Spain,Male,39,1,60374.98,1,1,0,40223.74,0
598,Germany,Male,20,8,180293.84,2,1,1,29552.7,0
590,Germany,Female,40,2,117641.43,2,0,0,92198.05,0
775,France,Female,32,2,108698.96,2,1,1,161069.73,0
548,Spain,Male,44,8,0.0,1,1,0,16989.77,0
637,France,Male,36,2,152606.82,1,1,1,71692.8,0
564,Spain,Male,48,5,132876.23,1,1,0,79259.77,0
666,France,Male,40,5,0.0,2,1,0,147878.05,0
549,France,Male,37,2,112541.54,2,0,0,47432.43,0
610,Germany,Male,36,7,115462.02,1,0,1,42581.04,0
651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0
788,France,Female,41,6,0.0,1,1,1,25571.37,0
633,France,Male,29,7,0.0,1,1,1,130224.73,0
670,France,Male,33,1,0.0,2,1,1,86413.11,0
550,France,Male,44,9,0.0,2,1,0,26257.01,0
739,France,Female,27,6,0.0,1,1,1,57572.38,0
850,France,Male,38,7,80293.98,1,0,0,126555.74,0
831,France,Female,34,2,0.0,2,0,0,165840.94,0
552,France,Male,36,8,0.0,2,0,0,132547.02,0
692,Spain,Female,44,8,0.0,1,0,1,159069.37,0
636,Spain,Female,29,6,157576.47,2,1,1,101102.39,0
539,Spain,Male,38,6,0.0,1,1,1,152880.07,1
655,Germany,Male,67,6,148363.38,1,1,1,186995.17,0
741,France,Female,60,5,0.0,1,1,1,38914.51,0
625,France,Female,58,10,53772.73,1,1,1,192072.1,1
608,France,Male,59,1,0.0,1,1,0,70649.64,1
749,France,Male,37,10,185063.7,2,1,1,134526.87,0
685,France,Male,33,6,0.0,1,1,0,58458.26,0
700,France,Male,38,8,134811.3,1,1,0,1299.75,0
599,Germany,Male,45,10,103583.05,1,1,0,132127.69,1
627,Spain,Male,44,6,0.0,1,1,1,114469.55,0
