age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
17,170455,7,0,0,8,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
26,197764,13,0,0,40,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
23,213115,9,0,0,40,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,United-States,<=50K
55,156089,10,0,0,40,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,United-States,<=50K
40,175935,13,14084,0,40,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,United-States,>50K
21,199444,9,0,0,44,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
43,116632,10,0,0,45,MISSING,Some-college,Married-civ-spouse,MISSING,Husband,White,Male,United-States,>50K
20,323573,9,0,0,20,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
29,190450,9,0,0,40,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,Germany,<=50K
39,82540,10,0,0,60,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
40,694812,10,0,0,40,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
48,186172,13,0,0,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
28,19395,10,0,0,38,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
57,390856,3,0,0,45,Private,5th-6th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,<=50K
34,113838,10,0,0,45,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
37,86310,10,0,0,45,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
28,249571,9,0,0,40,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
69,197288,9,0,0,35,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
53,218311,9,0,0,35,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
43,174575,13,0,1564,45,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K
38,242559,9,0,0,38,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
30,176185,10,0,0,60,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Own-child,White,Male,United-States,>50K
27,271243,10,0,0,40,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Male,Jamaica,<=50K
50,158294,11,3103,0,40,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
20,104981,9,0,0,40,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
22,107882,13,0,0,35,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
73,92886,6,0,0,40,Self-emp-inc,10th,Widowed,Sales,Unmarried,White,Female,Canada,<=50K
28,115579,11,0,0,38,Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
19,174732,10,0,0,25,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
25,108301,9,0,0,20,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,United-States,<=50K
24,165201,10,0,0,45,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
43,99203,11,0,0,40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
45,242994,10,0,0,52,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
27,277760,9,0,0,40,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
22,138504,10,0,0,30,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
46,324655,14,0,1902,40,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,MISSING,>50K
26,133373,13,0,0,44,MISSING,Bachelors,Never-married,MISSING,Own-child,White,Male,United-States,<=50K
58,311409,14,7688,0,30,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,>50K
53,34973,10,0,0,45,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
54,175083,9,0,0,20,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
35,204527,14,0,0,50,Private,Masters,Never-married,Craft-repair,Not-in-family,White,Male,United-States,>50K
38,280169,13,7298,0,50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
48,254809,6,0,1594,32,Private,10th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
25,108542,13,0,0,35,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
20,347530,9,0,0,25,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
41,116797,9,7298,0,50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
66,167711,9,0,0,40,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,United-States,>50K
39,239409,9,0,0,50,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
26,108542,10,0,0,40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
38,187999,13,0,0,45,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
39,191524,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
36,160192,9,0,0,40,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
25,219897,14,0,0,35,MISSING,Masters,Never-married,MISSING,Not-in-family,White,Female,Canada,<=50K
23,65038,9,0,0,40,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,<=50K
24,232841,9,0,0,35,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
67,407618,5,2050,0,40,MISSING,9th,Divorced,MISSING,Not-in-family,White,Female,United-States,<=50K
46,168195,15,0,1902,45,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
57,214061,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
59,247187,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
39,294919,9,0,0,60,Private,HS-grad,Divorced,Transport-moving,Own-child,White,Male,United-States,<=50K
34,182274,10,0,1887,40,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
41,252058,13,0,0,40,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
52,99736,14,15020,0,50,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K
47,224149,13,0,0,40,State-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K
64,45817,5,0,0,50,MISSING,9th,Married-civ-spouse,MISSING,Husband,White,Male,United-States,<=50K
41,288433,14,0,0,40,State-gov,Masters,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
21,20728,9,4101,0,40,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
50,126592,9,0,0,40,Private,HS-grad,Separated,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
42,106698,10,0,0,32,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
62,224520,9,0,0,90,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
40,140108,5,0,0,40,State-gov,9th,Separated,Machine-op-inspct,Not-in-family,Black,Male,United-States,<=50K
54,221915,15,0,0,65,Private,Prof-school,Never-married,Prof-specialty,Other-relative,White,Female,United-States,<=50K
37,372525,14,0,0,48,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Male,United-States,<=50K
49,277946,10,0,0,50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
24,275421,10,0,0,40,State-gov,Some-college,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
26,263200,10,0,0,38,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
65,183170,9,0,0,25,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
49,122177,10,0,0,40,State-gov,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
37,277022,9,3887,0,40,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Female,Nicaragua,<=50K
34,317809,13,0,0,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,MISSING,>50K
23,214120,9,0,0,40,Private,HS-grad,Never-married,Priv-house-serv,Own-child,White,Male,United-States,<=50K
20,122346,9,0,0,40,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
