CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
644,Spain,Male,54,6,0.0,1,0,1,84622.37,0
658,Germany,Female,45,9,134562.8,1,1,1,159268.67,0
698,Germany,Female,40,8,150777.1,1,1,0,114732.62,0
850,France,Female,38,1,106871.81,2,1,0,29333.01,0
583,Spain,Female,40,3,54428.37,1,1,0,109638.78,1
600,France,Male,46,10,95502.21,1,0,0,19842.18,0
712,France,Male,32,9,100606.02,1,1,0,165693.06,0
470,Spain,Male,34,9,0.0,2,0,1,89013.67,0
512,France,Male,36,0,129804.17,1,1,0,53020.9,0
577,France,Male,25,3,0.0,2,0,1,124508.29,0
769,France,Female,25,10,0.0,2,0,0,187925.75,0
800,Spain,Male,38,9,0.0,1,1,0,78744.39,0
593,Germany,Female,41,4,119703.1,2,1,1,109783.29,0
636,France,Male,42,2,0.0,2,1,1,55470.78,0
735,Spain,Male,55,2,103176.62,1,0,1,163516.16,0
793,France,Male,56,8,119496.25,2,1,0,29880.99,0
823,France,Female,44,1,0.0,2,0,1,182495.7,0
520,Germany,Female,31,3,108914.17,1,1,1,183572.39,1
598,Spain,Female,39,5,0.0,2,1,1,83103.46,0
717,France,Male,31,4,129722.57,1,0,0,41176.6,0
718,France,Female,25,7,0.0,2,1,0,30380.12,0
659,France,Female,56,9,123785.24,1,1,0,99504.03,1
633,France,Male,37,2,0.0,2,1,0,182258.17,0
497,Spain,Male,27,9,75263.16,1,1,1,164825.04,0
611,France,Male,68,5,82547.11,2,1,1,146448.01,0
769,France,Female,31,6,117852.26,2,1,0,147668.64,0
752,Germany,Male,32,9,115587.49,2,0,1,101677.46,0
727,France,Male,52,4,0.0,2,1,1,118429.02,0
629,France,Male,40,9,0.0,1,1,0,106.67,0
679,Spain,Male,39,5,0.0,2,1,1,100060.54,0
503,Spain,Male,25,7,0.0,1,0,1,192841.13,0
