CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
640,Spain,Female,46,3,0.0,1,1,1,156260.08,0
621,Spain,Male,39,8,0.0,2,1,0,36122.96,0
664,France,Male,43,9,189026.53,2,1,1,56099.86,0
792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1
598,France,Male,60,4,0.0,1,1,0,197727.14,1
514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
537,France,Male,59,9,0.0,2,0,0,103799.77,1
554,Germany,Female,51,7,105701.91,1,0,1,179797.79,1
534,France,Female,23,5,104822.45,1,0,1,160176.47,0
639,Germany,Female,41,5,98635.77,1,1,0,199970.74,0
731,France,Male,31,1,132512.26,1,1,1,185466.85,0
496,France,Male,31,5,0.0,2,1,0,93713.13,0
744,France,Male,29,1,43504.42,1,1,1,119327.75,0
531,Germany,Female,31,7,117052.82,1,1,0,118508.09,1
589,France,Male,38,2,0.0,1,1,0,79915.28,0
681,France,Male,29,8,0.0,1,1,0,66367.33,0
683,France,Female,42,8,0.0,2,0,1,198134.9,0
602,France,Female,35,5,0.0,2,1,0,31050.02,0
756,France,Male,62,3,0.0,1,1,1,11199.04,1
736,Germany,Female,26,0,84587.9,1,0,1,188037.76,0
798,France,Male,36,1,0.0,2,1,1,159044.1,0
548,Spain,Male,33,6,0.0,1,1,1,31728.35,0
608,Spain,Male,34,7,86656.13,1,0,1,59890.29,0
603,Germany,Female,35,9,145623.36,1,1,0,163181.62,0
850,Germany,Male,31,4,146587.3,1,1,1,89874.82,0
682,France,Male,55,9,0.0,1,1,0,153356.8,1
761,Spain,Male,27,8,0.0,2,1,0,63297.7,0
784,Spain,Female,42,2,109052.04,2,1,0,6409.55,0
646,France,Male,30,7,0.0,2,1,0,153566.97,0
690,Spain,Female,48,2,0.0,2,1,1,3149.1,0
505,Germany,Female,33,3,106506.77,3,1,0,45445.78,1
592,France,Female,38,4,0.0,2,1,0,35338.96,0
850,France,Female,39,2,0.0,2,1,0,179451.42,0
774,Germany,Male,36,9,130809.77,1,1,0,152290.28,0
696,Germany,Female,27,2,96129.32,2,1,1,5983.7,0
774,Spain,Male,32,9,0.0,2,1,0,10604.48,0
642,France,Male,40,1,154863.15,1,1,1,138052.51,0
767,France,Female,35,9,0.0,2,1,0,39511.61,0
700,France,Female,82,2,0.0,2,0,1,182055.36,0
850,Spain,Female,31,3,121237.65,1,1,1,31022.56,0
715,Germany,Female,34,9,102277.52,1,0,0,177852.57,1
788,Germany,Female,42,6,138650.49,2,1,0,64746.07,0
615,Germany,Male,24,8,108528.07,2,0,0,179488.41,1
659,France,Female,38,3,0.0,2,1,0,158553.1,0
534,Spain,Male,34,5,170600.78,1,0,1,5240.53,0
737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
525,France,Male,26,7,153644.39,1,1,1,63197.88,0
623,Spain,Female,40,4,0.0,3,1,0,31669.18,0
534,Spain,Male,51,3,0.0,2,0,1,20856.31,0
618,France,Male,34,5,134954.53,1,1,1,151954.39,0
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
581,Spain,Female,31,6,0.0,2,1,0,188377.21,0
651,France,Male,23,10,0.0,2,1,1,170099.23,0
817,France,Female,37,6,81070.34,2,1,0,80985.88,0
479,Germany,Female,30,7,143964.36,2,1,0,41879.99,0
633,Spain,Female,46,3,0.0,2,1,0,120250.58,0
677,Spain,Female,25,8,130866.19,1,1,0,42410.21,0
487,France,Female,53,10,89550.85,1,0,1,90076.85,0
850,France,Male,81,5,0.0,2,1,1,44827.47,0
695,Spain,Female,39,5,0.0,2,0,0,102763.69,0
710,France,Male,54,6,171137.62,1,1,1,167023.95,1
631,Germany,Female,34,6,125227.82,2,0,1,128247.03,0
578,France,Male,39,2,0.0,2,1,0,70563.9,0
